epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.141,0.36091,0.84753,2.78843,0.94772,0,0.99755,0.98837,0.99445,0.99018,0.99755,0.98837,0.99445,0.99319,0.13233,0.17819,1.35036,0.7323,0,0.00196667,0.000655556,0.00196667,0.000655556,0.00196667,0.000655556,0.00196667,0.000655556
2,53.3096,0.18485,0.21279,0.62156,0.84972,0,0.99922,1,0.995,0.994,0.99922,1,0.995,0.995,0.15881,0.10738,0.34981,0.71696,0,0.00391758,0.00130586,0.00391758,0.00130586,0.00391758,0.00130586,0.00391758,0.00130586
3,75.9192,0.20926,0.17003,0.34047,0.84048,0,0.99935,1,0.995,0.99393,0.99935,1,0.995,0.99331,0.14152,0.10566,0.1827,0.71281,0,0.00581899,0.00193966,0.00581899,0.00193966,0.00581899,0.00193966,0.00581899,0.00193966
4,99.4033,0.21598,0.16464,0.27402,0.84378,0,0.99938,1,0.995,0.99409,0.99938,1,0.995,0.99343,0.16942,0.09843,0.1918,0.71855,0,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575,0.00577725,0.00192575
5,118.969,0.20836,0.15565,0.2395,0.84907,0,0.99922,1,0.995,0.995,0.99922,1,0.995,0.99403,0.14104,0.09944,0.23111,0.71171,0,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
6,141.738,0.21683,0.1455,0.23544,0.84719,0,0.99926,1,0.995,0.99379,0.99926,1,0.995,0.995,0.17182,0.099,0.20524,0.72679,0,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625,0.00562875,0.00187625
7,161.706,0.22219,0.15751,0.23084,0.8512,0,0.99939,1,0.995,0.99419,0.99939,1,0.995,0.99419,0.17367,0.10118,0.20712,0.73821,0,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
8,184.049,0.2088,0.15035,0.23286,0.84655,0,0.98724,1,0.99477,0.99429,0.99915,0.98837,0.99489,0.99363,0.14455,0.1047,0.1723,0.70577,0,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675,0.00548025,0.00182675
9,203.691,0.20777,0.14843,0.22576,0.84465,0,0.99927,1,0.995,0.99441,0.99927,1,0.995,0.99441,0.13248,0.09742,0.15827,0.70197,0,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
10,223.124,0.20674,0.15003,0.20865,0.83798,0,0.99938,1,0.995,0.99337,0.99938,1,0.995,0.99337,0.13507,0.09905,0.1349,0.70287,0,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725,0.00533175,0.00177725
11,241.47,0.18402,0.13674,0.19567,0.84138,0,0.99928,1,0.995,0.99452,0.99928,1,0.995,0.99452,0.13418,0.09985,0.15851,0.70866,0,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
12,260.846,0.19955,0.13798,0.20876,0.84974,0,0.98787,1,0.99489,0.99457,0.98787,1,0.99489,0.99457,0.13546,0.09945,0.15479,0.70304,0,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775,0.00518325,0.00172775
13,280.748,0.19418,0.14485,0.19919,0.85352,0,1,0.99855,0.995,0.99456,1,0.99855,0.995,0.99456,0.13594,0.0987,0.15805,0.70489,0,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
14,301.922,0.19632,0.1413,0.21619,0.83931,0,0.99982,1,0.995,0.995,0.99982,1,0.995,0.99464,0.13126,0.09541,0.14007,0.70184,0,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825,0.00503475,0.00167825
15,320.983,0.19825,0.14695,0.2012,0.84085,0,1,0.99916,0.995,0.99434,1,0.99916,0.995,0.99453,0.12557,0.09625,0.13479,0.7024,0,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
16,340.432,0.1985,0.14415,0.19411,0.84093,0,1,0.99934,0.995,0.995,1,0.99934,0.995,0.99464,0.12553,0.09628,0.13617,0.70508,0,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875,0.00488625,0.00162875
